timestamp,current_mA_0,current_mA_1,voltage_V_0,voltage_V_1,power_active_W_0,power_active_W_1,energy_counter_Wh_0,energy_counter_Wh_1
20260120123954702218,294,400,220,225,51,84,9,12
20260120123955708413,381,483,220,225,71,102,0,0
20260120123956719726,384,495,220,225,73,106,0,0
20260120123957707844,384,495,220,225,73,105,0,0
20260120123958714491,710,915,220,224,143,200,0,0
20260120123959715136,946,960,219,224,200,211,0,0
20260120124000721792,933,940,219,224,197,206,0,0
20260120124001717245,940,940,219,224,199,206,0,0
20260120124002721334,940,948,219,224,199,208,0,0
20260120124003714492,943,950,219,224,199,208,0,0
20260120124004722832,941,949,219,224,199,208,0,0
20260120124005725943,936,950,219,224,197,207,0,0
20260120124006724115,935,943,219,224,198,207,0,0
20260120124007778754,935,944,219,224,198,207,0,0
20260120124008724755,938,946,219,224,199,208,0,0
20260120124009729725,939,948,219,224,199,208,0,0
20260120124010724733,942,947,219,224,198,207,0,0
20260120124011730843,936,952,219,224,198,209,0,0
20260120124012734762,936,942,219,224,198,206,0,0
20260120124013731442,936,946,219,224,198,208,0,0
20260120124014758004,938,949,219,224,199,208,0,1
20260120124015736013,940,950,219,224,199,209,1,1
20260120124016733889,932,944,219,224,198,207,1,1
20260120124017736294,936,949,219,224,198,208,1,1
20260120124018736063,938,946,219,224,199,208,1,1
20260120124019741136,936,946,219,224,198,208,1,1
20260120124020741713,945,947,219,224,200,208,1,1
20260120124021744492,942,948,219,224,199,208,1,1
20260120124022745990,933,939,219,224,196,205,1,1
20260120124023746333,932,940,220,225,198,207,1,1
20260120124024748000,933,945,220,225,198,208,1,1
20260120124025752837,932,943,219,224,197,207,1,1
20260120124026750419,935,941,219,224,198,207,1,1
20260120124027749551,894,889,219,225,189,194,1,1
20260120124028743251,882,893,219,224,186,196,1,1
20260120124029758014,864,883,219,224,182,193,1,1
20260120124030754817,856,875,219,224,180,192,1,1
20260120124031758476,840,871,219,224,177,191,1,1
20260120124032759666,835,867,220,224,176,190,1,2
20260120124033761074,833,867,219,224,175,190,1,2
20260120124034755993,788,844,220,225,165,185,2,2
20260120124035757010,804,849,219,224,168,185,2,2
20260120124036763200,802,855,220,224,168,187,2,2
20260120124037767330,782,847,220,224,164,185,2,2
20260120124038768675,786,848,220,225,165,185,2,2
20260120124039770668,789,850,220,225,165,186,2,2
20260120124040771465,759,824,220,225,158,180,2,2
20260120124041771947,772,836,220,224,161,183,2,2
20260120124042776650,766,835,220,224,160,182,2,2
20260120124043778046,772,837,220,224,161,182,2,2
20260120124044781029,752,806,220,225,157,176,2,2
20260120124045778241,772,838,220,225,161,183,2,2
20260120124046779463,774,830,220,225,161,180,2,2
20260120124047782347,766,833,220,225,160,182,2,2
20260120124048816858,742,808,220,225,155,176,2,2
20260120124049779768,764,827,220,225,159,180,2,2
20260120124050781259,760,821,220,225,159,179,2,2
20260120124051789472,753,795,220,225,157,173,2,3
20260120124052789927,761,817,220,225,158,178,2,3
20260120124053790485,755,814,220,225,157,178,2,3
20260120124054788778,757,823,220,225,158,180,2,3
20260120124055849474,751,806,220,225,157,176,2,3
20260120124056790860,752,808,220,225,157,176,3,3
20260120124057798035,747,804,220,225,156,175,3,3
20260120124058799021,751,809,220,225,157,177,3,3
20260120124059802188,745,808,220,225,155,176,3,3
20260120124100800341,746,809,220,225,155,176,3,3
20260120124101804324,747,807,220,225,156,176,3,3
20260120124102868776,730,795,220,225,152,173,3,3
20260120124103806998,748,801,220,225,155,174,3,3
20260120124104806342,731,793,220,225,152,173,3,3
20260120124105810613,742,787,219,224,154,171,3,3
20260120124106812565,741,791,219,225,154,172,3,3
20260120124107809635,741,792,219,225,154,173,3,3
20260120124108809918,737,789,219,225,153,172,3,3
20260120124109827870,748,790,219,225,156,172,3,3
20260120124110815030,736,792,219,224,153,172,3,3
20260120124111815100,737,792,219,224,153,172,3,3
20260120124112819571,736,789,219,224,153,171,3,4
20260120124113816750,736,788,219,224,153,171,3,4
20260120124114822078,749,796,219,224,156,173,3,4
20260120124115853355,754,777,219,224,157,169,3,4
20260120124116817970,725,785,219,224,150,171,3,4
20260120124117826163,727,778,219,224,151,169,3,4
20260120124118827144,730,767,219,224,151,167,3,4
20260120124119826127,732,789,219,224,152,172,4,4
20260120124120828782,732,790,219,224,152,172,4,4
20260120124121829372,722,780,219,224,150,170,4,4
20260120124122836554,729,789,219,224,151,172,4,4
20260120124123828637,736,785,219,224,153,171,4,4
20260120124124834148,718,773,219,224,149,168,4,4
20260120124125834315,726,782,219,224,151,170,4,4
20260120124126837752,725,781,219,224,150,170,4,4
20260120124127839125,722,779,219,224,150,170,4,4
20260120124128841341,729,783,220,225,151,170,4,4
20260120124129840970,709,760,219,224,147,165,4,4
20260120124130840397,719,774,220,225,149,169,4,4
20260120124131846570,727,773,220,225,151,168,4,4
20260120124132848972,719,778,220,225,149,169,4,4
20260120124133846785,725,775,219,224,150,169,4,5
20260120124134848149,729,770,219,224,151,167,4,5
20260120124135877105,719,771,220,225,149,168,4,5
20260120124136891531,719,775,220,225,149,169,4,5
20260120124137850228,721,771,219,225,149,168,4,5
20260120124138850465,717,773,220,225,149,167,4,5
20260120124139855388,721,774,220,225,150,169,4,5
20260120124140858996,748,765,220,225,156,167,4,5
20260120124141860332,729,780,219,225,151,169,4,5
20260120124142853432,734,768,220,225,153,167,4,5
20260120124143913119,702,751,220,225,145,164,5,5
20260120124144859344,724,769,220,225,150,167,5,5
20260120124145862371,695,745,220,225,144,162,5,5
20260120124146866568,726,778,220,225,151,170,5,5
20260120124147868311,724,782,220,225,150,170,5,5
20260120124148870742,712,764,220,225,148,166,5,5
20260120124149867646,717,770,220,225,149,168,5,5
20260120124150879766,732,773,220,225,152,168,5,5
20260120124151880463,731,776,220,225,152,169,5,5
20260120124152877734,702,744,220,225,145,162,5,5
20260120124153880311,715,769,220,225,148,167,5,5
20260120124154879200,714,769,220,225,148,168,5,6
20260120124155874637,717,769,220,225,149,167,5,6
20260120124156882845,715,770,220,225,148,167,5,6
20260120124157877738,727,766,220,225,151,167,5,6
