timestamp,current_mA_0,current_mA_1,voltage_V_0,voltage_V_1,power_active_W_0,power_active_W_1,energy_counter_Wh_0,energy_counter_Wh_1
20260120125326931115,297,402,222,226,52,85,14,16
20260120125327937848,382,484,221,226,72,103,0,0
20260120125328943458,387,496,221,226,74,106,0,0
20260120125329934851,390,501,221,226,74,107,0,0
20260120125330944946,763,735,221,226,156,159,0,0
20260120125331942941,952,959,221,226,203,212,0,0
20260120125332988123,928,931,221,226,197,205,0,0
20260120125333945203,931,941,221,226,198,208,0,0
20260120125334950145,933,944,221,226,199,208,0,0
20260120125335953281,938,948,221,226,200,209,0,0
20260120125337010787,935,942,221,226,199,208,0,0
20260120125337951474,929,940,221,226,198,207,0,0
20260120125338954194,933,943,221,226,199,208,0,0
20260120125339950663,933,943,221,226,199,208,0,0
20260120125341035917,939,946,221,226,199,209,0,0
20260120125341958725,940,946,221,226,200,209,0,0
20260120125342963049,934,940,221,226,199,207,0,0
20260120125343958026,934,941,221,226,199,208,0,0
20260120125344960310,935,942,221,226,199,208,0,0
20260120125345966412,938,944,221,226,200,208,0,0
20260120125347000455,938,947,221,226,200,209,0,1
20260120125347968989,925,939,221,226,197,207,1,1
20260120125348996207,891,899,221,226,189,198,1,1
20260120125349972491,875,878,221,226,185,193,1,1
20260120125350973067,865,881,221,226,182,194,1,1
20260120125351971318,839,863,221,226,177,190,1,1
20260120125352970480,832,863,221,226,176,190,1,1
20260120125353991529,825,857,221,226,174,188,1,1
20260120125354970861,826,855,221,226,175,188,1,1
20260120125355976069,810,848,221,226,170,186,1,1
20260120125356980518,808,834,221,226,170,183,1,1
20260120125357981142,785,843,221,226,165,185,1,1
20260120125358982106,808,850,221,226,169,187,1,1
20260120125359984598,780,835,221,226,164,183,1,1
20260120125401028348,786,840,221,226,166,185,1,1
20260120125401995863,773,830,221,226,162,182,1,1
20260120125402985688,778,836,221,226,163,184,1,1
20260120125403987929,769,826,221,226,162,181,1,1
20260120125404991082,769,828,221,226,162,182,1,1
20260120125405992125,754,818,221,226,158,180,1,2
20260120125406994668,767,820,221,226,160,179,1,2
20260120125408051166,747,801,221,226,157,176,1,2
20260120125408991077,753,809,221,226,158,178,2,2
20260120125409991514,757,810,221,226,158,177,2,2
20260120125410998778,747,790,221,226,156,173,2,2
20260120125411998574,744,802,221,226,156,176,2,2
20260120125412999019,747,800,221,226,156,176,2,2
20260120125414004867,747,788,221,226,156,173,2,2
20260120125415072685,750,796,221,226,157,175,2,2
20260120125416014877,731,782,221,226,153,172,2,2
20260120125417002137,743,797,221,226,156,175,2,2
20260120125418006870,745,796,221,226,156,175,2,2
20260120125419008291,747,799,221,226,156,175,2,2
20260120125420012156,747,779,221,226,156,171,2,2
20260120125421012570,735,789,221,226,154,172,2,2
20260120125422076401,745,778,221,226,156,170,2,2
20260120125423016589,739,795,221,226,155,174,2,2
20260120125424013349,738,781,221,226,154,171,2,2
20260120125425017351,733,781,221,226,153,171,2,2
20260120125426024756,734,783,221,226,153,171,2,2
20260120125427018053,734,784,221,226,153,172,2,3
20260120125428020794,731,786,221,226,153,172,2,3
20260120125429064813,732,784,221,226,153,172,2,3
20260120125430023841,732,785,221,226,153,171,2,3
20260120125431022469,719,764,221,226,150,167,2,3
20260120125432023265,732,784,221,226,153,171,3,3
20260120125433026602,732,785,221,226,153,171,3,3
20260120125434027498,732,783,221,226,153,171,3,3
20260120125435033686,728,782,221,226,152,171,3,3
20260120125436084982,730,779,221,226,152,171,3,3
20260120125437034070,728,780,221,226,152,170,3,3
20260120125438034504,723,777,221,226,151,170,3,3
20260120125439036092,722,774,221,226,150,169,3,3
20260120125440034935,723,776,221,225,151,170,3,3
20260120125441033432,722,774,221,226,151,169,3,3
20260120125442062202,724,776,221,225,151,169,3,3
20260120125443075620,725,775,221,225,151,169,3,3
20260120125444041505,725,774,220,225,151,169,3,3
20260120125445039157,724,775,221,226,151,170,3,3
20260120125446044176,722,773,221,226,151,169,3,3
20260120125447037831,717,766,221,226,149,168,3,3
20260120125448049342,718,767,221,226,150,168,3,4
20260120125449044748,716,767,221,226,149,168,3,4
20260120125450054654,728,778,221,226,152,170,3,4
20260120125451053192,715,769,221,226,149,168,3,4
20260120125452051820,718,769,221,226,150,168,3,4
20260120125453051380,720,770,221,226,150,168,3,4
20260120125454051644,720,771,220,226,150,168,3,4
20260120125455059498,719,771,221,226,150,168,3,4
20260120125456055255,719,770,220,226,150,168,4,4
20260120125457059572,720,770,220,225,150,168,4,4
20260120125458061193,721,772,220,225,150,169,4,4
20260120125459061491,729,772,220,225,152,169,4,4
20260120125500061425,708,752,220,225,147,164,4,4
20260120125501062753,718,767,220,225,149,168,4,4
20260120125502057577,718,748,220,225,149,163,4,4
20260120125503065634,704,748,220,225,146,163,4,4
20260120125504059677,723,772,220,225,150,168,4,4
20260120125505069725,712,755,220,225,148,165,4,4
20260120125506071301,719,759,220,225,149,166,4,4
20260120125507071992,720,764,220,225,150,167,4,4
20260120125508074564,720,769,220,225,150,168,4,4
20260120125509073491,700,746,220,225,145,163,4,5
20260120125510075541,715,762,220,225,149,166,4,5
20260120125511072294,714,764,221,226,149,167,4,5
20260120125512079488,716,768,221,226,149,168,4,5
20260120125513078412,712,762,221,226,148,166,4,5
20260120125514085222,711,760,220,225,148,166,4,5
20260120125515090478,712,762,220,225,148,166,4,5
20260120125516083718,713,760,220,225,148,166,4,5
20260120125517084284,711,761,220,225,148,166,4,5
20260120125518082073,721,770,220,225,150,168,4,5
20260120125519090037,706,751,220,225,147,164,4,5
20260120125520089711,715,763,220,225,149,167,5,5
20260120125521092628,701,745,220,225,145,163,5,5
20260120125522090684,704,761,220,225,146,166,5,5
20260120125523092944,713,763,220,225,148,166,5,5
