timestamp,current_mA_0,current_mA_1,voltage_V_0,voltage_V_1,power_active_W_0,power_active_W_1,energy_counter_Wh_0,energy_counter_Wh_1
20260120124640653082,294,401,221,226,51,84,12,14
20260120124641656887,365,493,221,226,68,105,0,0
20260120124642656168,383,493,221,226,73,105,0,0
20260120124643661587,388,497,220,226,74,106,0,0
20260120124644663888,844,840,220,225,176,183,0,0
20260120124645664020,953,958,219,225,202,211,0,0
20260120124646671839,939,945,219,225,199,208,0,0
20260120124647667623,939,947,220,225,199,209,0,0
20260120124648670346,936,943,220,225,199,208,0,0
20260120124649667486,936,941,220,225,198,207,0,0
20260120124650671234,934,937,220,225,198,206,0,0
20260120124651671194,932,937,220,226,197,206,0,0
20260120124652675988,938,941,220,225,199,207,0,0
20260120124653672753,932,939,219,225,197,207,0,0
20260120124654677247,932,939,219,225,197,207,0,0
20260120124655679562,935,942,219,225,198,207,0,0
20260120124656678579,930,950,219,225,196,209,0,0
20260120124657680397,937,937,219,225,198,206,0,0
20260120124658682850,933,942,219,225,197,208,0,0
20260120124659682043,940,945,219,225,199,208,0,0
20260120124700680538,935,938,219,225,198,207,0,1
20260120124701685954,940,943,219,225,198,206,1,1
20260120124702687764,938,943,219,225,199,208,1,1
20260120124703692570,941,944,219,225,199,208,1,1
20260120124704691869,943,945,219,225,200,208,1,1
20260120124705691614,944,943,219,225,200,208,1,1
20260120124706730838,937,943,219,225,198,207,1,1
20260120124707694439,936,942,219,225,198,208,1,1
20260120124708694583,940,945,219,225,199,208,1,1
20260120124709698396,907,918,219,225,192,202,1,1
20260120124710701195,878,887,219,225,185,195,1,1
20260120124711709523,881,866,219,225,185,190,1,1
20260120124712712877,857,876,220,225,181,193,1,1
20260120124713720411,858,876,219,225,181,192,1,1
20260120124714699934,839,865,219,225,176,190,1,1
20260120124715702281,828,858,219,225,174,188,1,1
20260120124716707926,829,858,220,225,174,188,1,1
20260120124717703709,805,852,220,225,169,187,1,1
20260120124718703916,808,854,220,225,170,187,1,2
20260120124719704224,806,850,220,225,168,186,1,2
20260120124720754542,788,847,220,225,165,186,2,2
20260120124721707893,763,833,220,225,160,182,2,2
20260120124722714471,792,845,220,225,166,185,2,2
20260120124723711630,774,830,220,225,162,182,2,2
20260120124724715471,779,839,220,225,163,184,2,2
20260120124725717658,779,836,220,225,163,183,2,2
20260120124726717389,771,836,220,225,161,183,2,2
20260120124727752609,771,837,220,225,161,182,2,2
20260120124728715662,757,824,220,225,158,180,2,2
20260120124729722020,769,828,220,225,161,181,2,2
20260120124730722068,756,810,220,225,158,177,2,2
20260120124731724255,757,816,220,225,158,178,2,2
20260120124732721822,760,819,220,225,159,179,2,2
20260120124733726770,760,819,220,225,159,179,2,2
20260120124734744222,751,795,220,225,157,173,2,2
20260120124735723340,757,811,220,225,158,177,2,2
20260120124736728908,756,816,220,225,158,178,2,2
20260120124737732316,734,791,220,225,153,173,2,3
20260120124738733603,746,802,220,225,155,175,2,3
20260120124739738969,750,806,220,225,157,176,2,3
20260120124740737248,749,803,220,225,156,176,2,3
20260120124741734129,745,789,220,225,155,172,2,3
20260120124742732480,747,799,220,225,156,175,2,3
20260120124743743765,747,804,220,225,156,176,3,3
20260120124744742048,752,795,220,225,157,173,3,3
20260120124745763229,723,782,220,225,150,171,3,3
20260120124746745530,729,782,220,225,152,171,3,3
20260120124747746352,752,799,220,225,156,174,3,3
20260120124748741055,736,789,220,225,153,172,3,3
20260120124749746212,735,785,220,225,153,172,3,3
20260120124750750102,745,784,220,225,155,171,3,3
20260120124751752279,737,786,220,225,153,172,3,3
20260120124752754565,739,788,220,225,154,172,3,3
20260120124753754064,746,787,220,225,155,172,3,3
20260120124754756535,733,787,220,225,153,172,3,3
20260120124755752538,727,781,220,225,151,171,3,3
20260120124756772203,742,790,220,225,155,172,3,3
20260120124757760393,740,781,220,225,154,170,3,3
20260120124758796685,733,783,220,225,153,171,3,4
20260120124759762567,731,783,220,225,152,171,3,4
20260120124800762452,730,782,220,225,152,171,3,4
20260120124801797235,730,779,220,225,152,170,3,4
20260120124802768964,730,785,220,225,152,172,3,4
20260120124803770720,720,769,220,226,150,168,3,4
20260120124804770214,730,776,220,226,152,170,3,4
20260120124805765406,719,776,220,225,149,170,3,4
20260120124806772545,730,776,220,225,152,170,4,4
20260120124807775078,723,775,220,225,151,169,4,4
20260120124808826835,723,775,220,225,150,169,4,4
20260120124809776219,721,775,220,225,150,169,4,4
