timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20250425170621083689,529,219,111,59
20250425170622066617,631,219,133,0
20250425170623067835,636,219,134,0
20250425170624105058,643,219,135,0
20250425170625071987,637,219,134,0
20250425170626082156,636,219,134,0
20250425170627077472,636,219,134,0
20250425170628076374,636,219,134,0
20250425170629072342,636,219,134,0
20250425170630076306,643,219,136,0
20250425170631077504,639,219,135,0
20250425170632081504,637,219,134,0
20250425170633079006,637,219,134,0
20250425170634083495,636,219,134,0
20250425170635083030,638,219,134,0
20250425170636083439,643,219,136,0
20250425170637097226,637,219,134,0
20250425170638090682,636,219,134,0
20250425170639088990,636,219,134,0
20250425170640091089,636,219,134,0
20250425170641089428,637,219,134,0
20250425170642091052,647,219,136,0
20250425170643094322,638,219,134,0
20250425170644097164,639,218,134,0
20250425170645092004,638,218,134,0
20250425170646094372,639,218,134,0
20250425170647116207,638,218,134,0
20250425170648094235,644,219,136,0
20250425170649106012,644,219,136,0
20250425170650100540,638,218,134,1
20250425170651105699,637,219,134,1
20250425170652107374,638,219,134,1
20250425170653103815,638,219,134,1
20250425170654103029,644,219,136,1
20250425170655106922,642,219,135,1
20250425170656104957,637,219,134,1
20250425170657112492,637,219,134,1
20250425170658106681,638,219,134,1
20250425170659107049,638,218,134,1
20250425170700108014,643,219,136,1
20250425170701110731,640,219,135,1
20250425170702143571,637,219,134,1
20250425170703112714,638,218,134,1
20250425170704112132,637,219,134,1
20250425170705113660,638,219,134,1
20250425170706114230,644,219,136,1
20250425170707114873,639,219,135,1
20250425170708116553,638,219,134,1
20250425170709117893,638,218,134,1
20250425170710124591,638,219,134,1
20250425170711116679,639,219,135,1
20250425170712121643,648,219,137,1
20250425170713121863,638,219,134,1
20250425170714125081,638,219,134,1
20250425170715144673,638,219,134,1
20250425170716130145,638,219,134,2
20250425170717126723,638,219,134,2
20250425170718131332,644,218,136,2
20250425170719133643,644,219,135,2
20250425170720155358,638,218,134,2
